m1 = 0
0.1 0.5245762711864407 0.04918905715569985
0.2 0.5118644067796609 0.04885944171321889
0.3 0.5440677966101696 0.03786153881981131
0.4 0.578813559322034 0.05265842841663045
0.5 0.583050847457627 0.0511010624802757
0.6 0.6016949152542372 0.05168796841348104
0.7 0.5864406779661017 0.05110106248027571
0.8 0.6220338983050848 0.04811887988670638
0.9 0.6449152542372881 0.029466675679175786
1.0 0.6313559322033899 0.03869644087061315
m1 = 1
0.1 0.6720338983050846 0.08823739231779859
0.2 0.7338983050847459 0.09476380168470755
0.3 0.8169491525423729 0.09566892062149211
0.4 0.8542372881355933 0.08028962225306449
0.5 0.8576271186440678 0.07559018007111104
0.6 0.8694915254237289 0.053758479753063415
0.7 0.8838983050847459 0.03884463266564691
0.8 0.8974576271186441 0.029709403632132383
0.9 0.9033898305084745 0.02738219393458223
1.0 0.9161016949152542 0.024982038937260455
