m1 = 0
0.1 0.545 0.03894440481849307
0.2 0.545 0.029860788111948183
0.3 0.5691666666666667 0.05014562127776794
0.4 0.5525 0.055283360968739925
0.5 0.5991666666666666 0.04661455423648997
0.6 0.6499999999999999 0.0408248290463863
0.7 0.6399999999999999 0.0507991688470939
0.8 0.6583333333333333 0.04082482904638632
0.9 0.6891666666666667 0.03633371559431941
1.0 0.6908333333333333 0.040216428373378854
m1 = 1
0.1 0.7100000000000002 0.12415268377642462
0.2 0.8541666666666666 0.06762334409556116
0.3 0.9091666666666665 0.042728145810980896
0.4 0.9250000000000002 0.03708099243547831
0.5 0.9391666666666667 0.026100766272276366
0.6 0.9566666666666664 0.024664414311581236
0.7 0.9616666666666666 0.018333333333333316
0.8 0.9691666666666666 0.01293681224688335
0.9 0.9733333333333333 0.01040832999733067
1.0 0.9733333333333333 0.01040832999733067
